"Date","Price","Open","High","Low","Vol.","Change %"
"05-02-2020","16,968.83","16,968.83","16,968.83","16,968.83","","0.91%"
"04-02-2020","16,815.12","16,815.12","16,815.12","16,815.12","","2.32%"
"03-02-2020","16,433.65","16,433.65","16,433.65","16,433.65","","0.39%"
"01-02-2020","16,369.00","16,369.00","16,369.00","16,369.00","","-2.51%"
"31-01-2020","16,790.45","16,790.45","16,790.45","16,790.45","","-0.61%"
"30-01-2020","16,893.91","16,893.91","16,893.91","16,893.91","","-0.77%"
"29-01-2020","17,025.46","17,025.46","17,025.46","17,025.46","","0.61%"
"28-01-2020","16,922.01","16,922.01","16,922.01","16,922.01","","-0.52%"
"27-01-2020","17,010.70","17,010.70","17,010.70","17,010.70","","-1.06%"
"24-01-2020","17,192.15","17,192.15","17,192.15","17,192.15","","0.56%"
"23-01-2020","17,095.61","17,095.61","17,095.61","17,095.61","","0.62%"
"22-01-2020","16,990.68","16,990.68","16,990.68","16,990.68","","-0.52%"
"21-01-2020","17,079.07","17,079.07","17,079.07","17,079.07","","-0.45%"
"20-01-2020","17,155.83","17,155.83","17,155.83","17,155.83","","-1.03%"
"17-01-2020","17,335.20","17,335.20","17,335.20","17,335.20","","-0.03%"
"16-01-2020","17,339.57","17,339.57","17,339.57","17,339.57","","0.10%"
"15-01-2020","17,322.50","17,322.50","17,322.50","17,322.50","","-0.15%"
"14-01-2020","17,349.12","17,349.12","17,349.12","17,349.12","","0.27%"
"13-01-2020","17,303.20","17,303.20","17,303.20","17,303.20","","0.59%"
"10-01-2020","17,201.08","17,201.08","17,201.08","17,201.08","","0.33%"
"09-01-2020","17,143.65","17,143.65","17,143.65","17,143.65","","1.58%"
"08-01-2020","16,876.24","16,876.24","16,876.24","16,876.24","","-0.23%"
"07-01-2020","16,915.03","16,915.03","16,915.03","16,915.03","","0.50%"
"06-01-2020","16,830.93","16,830.93","16,830.93","16,830.93","","-1.91%"
"03-01-2020","17,158.75","17,158.75","17,158.75","17,158.75","","-0.45%"
"02-01-2020","17,236.70","17,236.70","17,236.70","17,236.70","","0.82%"
"01-01-2020","17,096.83","17,096.83","17,096.83","17,096.83","","0.12%"
"31-12-2019","17,077.06","17,077.06","17,077.06","17,077.06","","-0.71%"
"30-12-2019","17,199.73","17,199.73","17,199.73","17,199.73","","0.08%"
"27-12-2019","17,185.66","17,185.66","17,185.66","17,185.66","","0.98%"
"26-12-2019","17,018.26","17,018.26","17,018.26","17,018.26","","-0.72%"
"24-12-2019","17,141.80","17,141.80","17,141.80","17,141.80","","-0.39%"
"23-12-2019","17,209.40","17,209.40","17,209.40","17,209.40","","-0.07%"
"20-12-2019","17,222.14","17,222.14","17,222.14","17,222.14","","0.10%"
"19-12-2019","17,205.12","17,205.12","17,205.12","17,205.12","","0.32%"
"18-12-2019","17,150.93","17,150.93","17,150.93","17,150.93","","0.47%"
"17-12-2019","17,071.49","17,071.49","17,071.49","17,071.49","","0.92%"
"16-12-2019","16,915.65","16,915.65","16,915.65","16,915.65","","-0.27%"
"13-12-2019","16,961.56","16,961.56","16,961.56","16,961.56","","0.96%"
"12-12-2019","16,800.36","16,800.36","16,800.36","16,800.36","","0.52%"
"11-12-2019","16,713.79","16,713.79","16,713.79","16,713.79","","0.45%"
"10-12-2019","16,638.94","16,638.94","16,638.94","16,638.94","","-0.67%"
"09-12-2019","16,751.53","16,751.53","16,751.53","16,751.53","","0.13%"
"06-12-2019","16,729.08","16,729.08","16,729.08","16,729.08","","-0.81%"
"05-12-2019","16,865.04","16,865.04","16,865.04","16,865.04","","-0.21%"
"04-12-2019","16,899.88","16,899.88","16,899.88","16,899.88","","0.41%"
"03-12-2019","16,831.11","16,831.11","16,831.11","16,831.11","","-0.45%"
"02-12-2019","16,906.88","16,906.88","16,906.88","16,906.88","","-0.07%"
"29-11-2019","16,917.89","16,917.89","16,917.89","16,917.89","","-0.78%"
"28-11-2019","17,051.31","17,051.31","17,051.31","17,051.31","","0.42%"
"27-11-2019","16,980.54","16,980.54","16,980.54","16,980.54","","0.52%"
"26-11-2019","16,892.15","16,892.15","16,892.15","16,892.15","","-0.30%"
"25-11-2019","16,942.70","16,942.70","16,942.70","16,942.70","","1.34%"
"22-11-2019","16,719.11","16,719.11","16,719.11","16,719.11","","-0.45%"
"21-11-2019","16,794.86","16,794.86","16,794.86","16,794.86","","-0.26%"
"20-11-2019","16,837.96","16,837.96","16,837.96","16,837.96","","0.49%"
"19-11-2019","16,755.15","16,755.15","16,755.15","16,755.15","","0.47%"
"18-11-2019","16,677.14","16,677.14","16,677.14","16,677.14","","-0.09%"
"15-11-2019","16,692.52","16,692.52","16,692.52","16,692.52","","0.20%"
"14-11-2019","16,659.78","16,659.78","16,659.78","16,659.78","","0.27%"
"13-11-2019","16,615.37","16,615.37","16,615.37","16,615.37","","-0.61%"
"11-11-2019","16,717.75","16,717.75","16,717.75","16,717.75","","0.04%"
"08-11-2019","16,710.37","16,710.37","16,710.37","16,710.37","","-0.86%"
"07-11-2019","16,856.17","16,856.17","16,856.17","16,856.17","","0.38%"
"06-11-2019","16,791.61","16,791.61","16,791.61","16,791.61","","0.41%"
"05-11-2019","16,723.06","16,723.06","16,723.06","16,723.06","","-0.20%"
"04-11-2019","16,756.87","16,756.87","16,756.87","16,756.87","","0.43%"
