date,market
03/10/2000,2338.05
04/10/2000,2367.15
05/10/2000,2314.7
06/10/2000,2300.15
09/10/2000,2272.05
10/10/2000,2222.15
11/10/2000,2147.6
12/10/2000,2190.35
13/10/2000,2109
16/10/2000,2144.3
17/10/2000,2108.6
18/10/2000,2093.6
19/10/2000,2175.9
20/10/2000,2206.65
23/10/2000,2107.55
24/10/2000,2113
25/10/2000,2188.5
26/10/2000,2222.25
27/10/2000,2248
30/10/2000,2214.85
31/10/2000,2234.3
01/11/2000,2284.6
02/11/2000,2321.75
03/11/2000,2356.25
06/11/2000,2368.55
07/11/2000,2382.05
08/11/2000,2424.45
09/11/2000,2428
10/11/2000,2345.6
13/11/2000,2246.1
14/11/2000,2339.4
15/11/2000,2370.85
16/11/2000,2406.4
17/11/2000,2405.1
20/11/2000,2403.6
21/11/2000,2384.7
22/11/2000,2374.95
23/11/2000,2398.95
24/11/2000,2398.65
27/11/2000,2465.65
28/11/2000,2469.2
29/11/2000,2486.6
30/11/2000,2477.25
01/12/2000,2486.7
04/12/2000,2490.3
05/12/2000,2520.8
06/12/2000,2559.6
07/12/2000,2572.35
08/12/2000,2615.1
11/12/2000,2652.3
12/12/2000,2655.05
13/12/2000,2708
14/12/2000,2685.85
15/12/2000,2532
18/12/2000,2553.25
19/12/2000,2495.2
20/12/2000,2501.4
21/12/2000,2442.95
22/12/2000,2326.25
26/12/2000,2264.45
27/12/2000,2337
28/12/2000,2384.35
29/12/2000,2426.05
01/02/2001,2337.15
02/02/2001,2340.45
05/02/2001,2350.25
06/02/2001,2383.85
07/02/2001,2378.65
08/02/2001,2441.6
09/02/2001,2458.8
12/02/2001,2504
13/02/2001,2444.25
14/02/2001,2456.15
15/02/2001,2466.6
16/02/2001,2346.35
19/02/2001,2340
20/02/2001,2318.85
21/02/2001,2297.4
22/02/2001,2248.45
23/02/2001,2167.05
26/02/2001,2139
27/02/2001,2042.6
28/02/2001,2141.45
01/03/2001,2208.65
02/03/2001,2096.75
05/03/2001,2017.1
07/03/2001,1992.7
08/03/2001,1941.7
09/03/2001,1833.2
12/03/2001,1727.1
13/03/2001,1588.8
14/03/2001,1664.45
15/03/2001,1718.85
16/03/2001,1675.6
19/03/2001,1676.25
20/03/2001,1665.8
21/03/2001,1666.65
22/03/2001,1669.25
23/03/2001,1627.9
26/03/2001,1635.05
27/03/2001,1657.35
28/03/2001,1696.25
29/03/2001,1675.2
30/03/2001,1601.8
02/04/2001,1534.55
03/04/2001,1554.5
04/04/2001,1535.55
06/04/2001,1507.15
09/04/2001,1507.45
10/04/2001,1472.35
11/04/2001,1442.4
12/04/2001,1392.9
16/04/2001,1415.6
17/04/2001,1459.25
18/04/2001,1528.85
19/04/2001,1553.45
20/04/2001,1554.95
23/04/2001,1565.15
24/04/2001,1592.25
25/04/2001,1619.1
26/04/2001,1591.3
27/04/2001,1503.5
30/04/2001,1525.2
02/05/2001,1545.45
03/05/2001,1522
04/05/2001,1537.1
07/05/2001,1566.45
08/05/2001,1583.6
09/05/2001,1561.15
10/05/2001,1564.9
11/05/2001,1544
14/05/2001,1540.45
15/05/2001,1524.5
16/05/2001,1566.15
17/05/2001,1580.5
18/05/2001,1587.85
21/05/2001,1578.7
22/05/2001,1593.1
23/05/2001,1622.1
24/05/2001,1614.2
25/05/2001,1611.6
28/05/2001,1636.55
29/05/2001,1652.35
30/05/2001,1638.15
31/05/2001,1627.15
01/06/2001,1614.45
04/06/2001,1578.75
05/06/2001,1557.3
06/06/2001,1568.85
07/06/2001,1540.6
08/06/2001,1558.85
11/06/2001,1566.55
12/06/2001,1558.75
13/06/2001,1570.9
14/06/2001,1547.05
15/06/2001,1508.75
18/06/2001,1484.8
19/06/2001,1499.05
20/06/2001,1497.9
21/06/2001,1480.95
22/06/2001,1450.8
25/06/2001,1409
26/06/2001,1431.1
27/06/2001,1435.4
28/06/2001,1423.05
